Transport,Start,End,Distance
台北捷運,松山機場,松山機場,0
台北捷運,松山機場,中山國中,1.48
台北捷運,松山機場,南京復興,2.41
台北捷運,松山機場,忠孝復興,3.68
台北捷運,松山機場,大安,4.57
台北捷運,松山機場,科技大樓,5.32
台北捷運,松山機場,六張犁,6.45
台北捷運,松山機場,麟光,7.27
台北捷運,松山機場,辛亥,8.87
台北捷運,松山機場,萬芳醫院,9.63
台北捷運,松山機場,萬芳社區,10.77
台北捷運,松山機場,木柵,11.29
台北捷運,松山機場,動物園,11.97
台北捷運,松山機場,大直,2.59
台北捷運,松山機場,劍南路,3.91
台北捷運,松山機場,西湖,5.2
台北捷運,松山機場,港墘,6.03
台北捷運,松山機場,文德,7.04
台北捷運,松山機場,內湖,8.17
台北捷運,松山機場,大湖公園,9.03
台北捷運,松山機場,葫洲,10.66
台北捷運,松山機場,東湖,11.51
台北捷運,松山機場,南港軟體園區,12.24
台北捷運,松山機場,南港展覽館,11.59
台北捷運,松山機場,小碧潭,15.67
台北捷運,松山機場,新店,15.73
台北捷運,松山機場,新店區公所,14.62
台北捷運,松山機場,七張,13.72
台北捷運,松山機場,大坪林,12.87
台北捷運,松山機場,景美,11.72
台北捷運,松山機場,萬隆,10.66
台北捷運,松山機場,公館,9.1
台北捷運,松山機場,台電大樓,8.2
台北捷運,松山機場,古亭,7.32
台北捷運,松山機場,中正紀念堂,6.98
台北捷運,松山機場,小南門,7.53
台北捷運,松山機場,頂溪,9.46
台北捷運,松山機場,永安市場,10.79
台北捷運,松山機場,景安,11.87
台北捷運,松山機場,南勢角,12.68
台北捷運,松山機場,台大醫院,5.99
台北捷運,松山機場,台北車站,5.36
台北捷運,松山機場,台北車站,5.36
台北捷運,松山機場,中山,4.7
台北捷運,松山機場,雙連,5.25
台北捷運,松山機場,民權西路,5.78
台北捷運,松山機場,圓山,6.81
台北捷運,松山機場,劍潭,8.33
台北捷運,松山機場,士林,9.42
台北捷運,松山機場,芝山,10.52
台北捷運,松山機場,明德,11.4
台北捷運,松山機場,石牌,12
台北捷運,松山機場,唭哩岸,13.26
台北捷運,松山機場,奇岩,14.09
台北捷運,松山機場,北投,14.85
台北捷運,松山機場,新北投,15.88
台北捷運,松山機場,復興崗,16.46
台北捷運,松山機場,忠義,17.91
台北捷運,松山機場,關渡,18.78
台北捷運,松山機場,竹圍,20.92
台北捷運,松山機場,紅樹林,22.83
台北捷運,松山機場,淡水,24.92
台北捷運,松山機場,頂埔,21.34
台北捷運,松山機場,永寧,19.4
台北捷運,松山機場,土城,18.29
台北捷運,松山機場,海山,16.82
台北捷運,松山機場,亞東醫院,15.18
台北捷運,松山機場,府中,13.89
台北捷運,松山機場,板橋,13.24
台北捷運,松山機場,新埔,11.96
台北捷運,松山機場,江子翠,11.1
台北捷運,松山機場,龍山寺,8.02
台北捷運,松山機場,西門,6.71
台北捷運,松山機場,善導寺,5.48
台北捷運,松山機場,忠孝新生,4.55
台北捷運,松山機場,忠孝復興,3.68
台北捷運,松山機場,忠孝敦化,4.34
台北捷運,松山機場,國父紀念館,5.07
台北捷運,松山機場,市政府,5.91
台北捷運,松山機場,永春,6.9
台北捷運,松山機場,後山埤,7.72
台北捷運,松山機場,昆陽,9.08
台北捷運,松山機場,南港,10.5
台北捷運,松山機場,南港展覽館,11.59
台北捷運,松山機場,象山,7.29
台北捷運,松山機場,台北101/世貿,6.55
台北捷運,松山機場,信義安和,5.56
台北捷運,松山機場,大安,4.57
台北捷運,松山機場,大安森林公園,5.36
台北捷運,松山機場,北門,5.96
台北捷運,松山機場,中山,4.7
台北捷運,松山機場,松江南京,3.4
台北捷運,松山機場,南京復興,2.41
台北捷運,松山機場,台北小巨蛋,3.35
台北捷運,松山機場,南京三民,4.55
台北捷運,松山機場,松山,5.9
台北捷運,松山機場,輔大,15.38
台北捷運,松山機場,新莊,13.64
台北捷運,松山機場,頭前庄,12.62
台北捷運,松山機場,先嗇宮,11.35
台北捷運,松山機場,三重,9.63
台北捷運,松山機場,菜寮,8.76
台北捷運,松山機場,台北橋,7.77
台北捷運,松山機場,大橋頭,6.44
台北捷運,松山機場,民權西路,5.78
台北捷運,松山機場,中山國小,5.15
台北捷運,松山機場,行天宮,4.2
台北捷運,松山機場,松江南京,3.4
台北捷運,松山機場,忠孝新生,4.55
台北捷運,松山機場,東門,5.75
台北捷運,松山機場,蘆洲,12.45
台北捷運,松山機場,三民高中,11.28
台北捷運,松山機場,徐匯中學,10.38
台北捷運,松山機場,三和國中,9.55
台北捷運,松山機場,三重國小,8.32
台北捷運,松山機場,迴龍,18.15
台北捷運,松山機場,丹鳳,16.75
台北捷運,松山機場,大坪林,12.87
台北捷運,松山機場,十四張,14.42
台北捷運,松山機場,秀朗橋,13.86
台北捷運,松山機場,景平,12.96
台北捷運,松山機場,景安,11.87
台北捷運,松山機場,中和,13.4
台北捷運,松山機場,橋和,14.03
台北捷運,松山機場,中原,14.77
台北捷運,松山機場,板新,14.14
台北捷運,松山機場,板橋,13.24
台北捷運,松山機場,新埔民生,11.96
台北捷運,松山機場,頭前庄,12.62
台北捷運,松山機場,幸福,13.78
台北捷運,松山機場,新北產業園區,15.02
台北捷運,中山國中,松山機場,1.48
台北捷運,中山國中,中山國中,0
台北捷運,中山國中,南京復興,0.93
台北捷運,中山國中,忠孝復興,2.2
台北捷運,中山國中,大安,3.09
台北捷運,中山國中,科技大樓,3.84
台北捷運,中山國中,六張犁,4.97
台北捷運,中山國中,麟光,5.79
台北捷運,中山國中,辛亥,7.39
台北捷運,中山國中,萬芳醫院,8.15
台北捷運,中山國中,萬芳社區,9.29
台北捷運,中山國中,木柵,9.81
台北捷運,中山國中,動物園,10.49
台北捷運,中山國中,大直,4.06
台北捷運,中山國中,劍南路,5.39
台北捷運,中山國中,西湖,6.68
台北捷運,中山國中,港墘,7.5
台北捷運,中山國中,文德,8.52
台北捷運,中山國中,內湖,9.64
台北捷運,中山國中,大湖公園,10.51
台北捷運,中山國中,葫洲,12.14
台北捷運,中山國中,東湖,11.8
台北捷運,中山國中,南港軟體園區,10.76
台北捷運,中山國中,南港展覽館,10.11
台北捷運,中山國中,小碧潭,14.19
台北捷運,中山國中,新店,14.25
台北捷運,中山國中,新店區公所,13.14
台北捷運,中山國中,七張,12.24
台北捷運,中山國中,大坪林,11.39
台北捷運,中山國中,景美,10.24
台北捷運,中山國中,萬隆,9.18
台北捷運,中山國中,公館,7.62
台北捷運,中山國中,台電大樓,6.72
台北捷運,中山國中,古亭,5.84
台北捷運,中山國中,中正紀念堂,5.5
台北捷運,中山國中,小南門,6.05
台北捷運,中山國中,頂溪,7.98
台北捷運,中山國中,永安市場,9.31
台北捷運,中山國中,景安,10.39
台北捷運,中山國中,南勢角,11.2
台北捷運,中山國中,台大醫院,4.51
台北捷運,中山國中,台北車站,3.88
台北捷運,中山國中,台北車站,3.88
台北捷運,中山國中,中山,3.22
台北捷運,中山國中,雙連,3.77
台北捷運,中山國中,民權西路,4.3
台北捷運,中山國中,圓山,5.33
台北捷運,中山國中,劍潭,6.85
台北捷運,中山國中,士林,7.94
台北捷運,中山國中,芝山,9.04
台北捷運,中山國中,明德,9.92
台北捷運,中山國中,石牌,10.52
台北捷運,中山國中,唭哩岸,11.78
台北捷運,中山國中,奇岩,12.61
台北捷運,中山國中,北投,13.37
台北捷運,中山國中,新北投,14.4
台北捷運,中山國中,復興崗,14.98
台北捷運,中山國中,忠義,16.43
台北捷運,中山國中,關渡,17.3
台北捷運,中山國中,竹圍,19.44
台北捷運,中山國中,紅樹林,21.35
台北捷運,中山國中,淡水,23.44
台北捷運,中山國中,頂埔,19.87
台北捷運,中山國中,永寧,17.92
台北捷運,中山國中,土城,16.81
台北捷運,中山國中,海山,15.34
台北捷運,中山國中,亞東醫院,13.7
台北捷運,中山國中,府中,12.42
台北捷運,中山國中,板橋,11.76
台北捷運,中山國中,新埔,10.49
台北捷運,中山國中,江子翠,9.62
台北捷運,中山國中,龍山寺,6.54
台北捷運,中山國中,西門,5.23
台北捷運,中山國中,善導寺,4.01
台北捷運,中山國中,忠孝新生,3.07
台北捷運,中山國中,忠孝復興,2.2
台北捷運,中山國中,忠孝敦化,2.87
台北捷運,中山國中,國父紀念館,3.59
台北捷運,中山國中,市政府,4.44
台北捷運,中山國中,永春,5.42
台北捷運,中山國中,後山埤,6.24
台北捷運,中山國中,昆陽,7.6
台北捷運,中山國中,南港,9.02
台北捷運,中山國中,南港展覽館,10.11
台北捷運,中山國中,象山,5.81
台北捷運,中山國中,台北101/世貿,5.07
台北捷運,中山國中,信義安和,4.08
台北捷運,中山國中,大安,3.09
台北捷運,中山國中,大安森林公園,3.88
台北捷運,中山國中,北門,4.48
台北捷運,中山國中,中山,3.22
台北捷運,中山國中,松江南京,1.92
台北捷運,中山國中,南京復興,0.93
台北捷運,中山國中,台北小巨蛋,1.87
台北捷運,中山國中,南京三民,3.07
台北捷運,中山國中,松山,4.42
台北捷運,中山國中,輔大,13.9
台北捷運,中山國中,新莊,12.16
台北捷運,中山國中,頭前庄,11.15
台北捷運,中山國中,先嗇宮,9.87
台北捷運,中山國中,三重,8.15
台北捷運,中山國中,菜寮,7.28
台北捷運,中山國中,台北橋,6.29
台北捷運,中山國中,大橋頭,4.96
台北捷運,中山國中,民權西路,4.3
台北捷運,中山國中,中山國小,3.67
台北捷運,中山國中,行天宮,2.72
台北捷運,中山國中,松江南京,1.92
台北捷運,中山國中,忠孝新生,3.07
台北捷運,中山國中,東門,4.27
台北捷運,中山國中,蘆洲,10.97
台北捷運,中山國中,三民高中,9.8
台北捷運,中山國中,徐匯中學,8.9
台北捷運,中山國中,三和國中,8.07
台北捷運,中山國中,三重國小,6.84
台北捷運,中山國中,迴龍,16.67
台北捷運,中山國中,丹鳳,15.27
台北捷運,中山國中,大坪林,11.39
台北捷運,中山國中,十四張,12.94
台北捷運,中山國中,秀朗橋,12.38
台北捷運,中山國中,景平,11.48
台北捷運,中山國中,景安,10.39
台北捷運,中山國中,中和,11.92
台北捷運,中山國中,橋和,12.55
台北捷運,中山國中,中原,13.29
台北捷運,中山國中,板新,12.66
台北捷運,中山國中,板橋,11.76
台北捷運,中山國中,新埔民生,10.49
台北捷運,中山國中,頭前庄,11.15
台北捷運,中山國中,幸福,12.3
台北捷運,中山國中,新北產業園區,13.54
台北捷運,南京復興,松山機場,2.41
台北捷運,南京復興,中山國中,0.93
台北捷運,南京復興,南京復興,0
台北捷運,南京復興,忠孝復興,1.27
台北捷運,南京復興,大安,2.16
台北捷運,南京復興,科技大樓,2.91
台北捷運,南京復興,六張犁,4.04
台北捷運,南京復興,麟光,4.86
台北捷運,南京復興,辛亥,6.46
台北捷運,南京復興,萬芳醫院,7.22
台北捷運,南京復興,萬芳社區,8.36
台北捷運,南京復興,木柵,8.88
台北捷運,南京復興,動物園,9.56
台北捷運,南京復興,大直,5
台北捷運,南京復興,劍南路,6.32
台北捷運,南京復興,西湖,7.61
台北捷運,南京復興,港墘,8.44
台北捷運,南京復興,文德,9.45
台北捷運,南京復興,內湖,10.58
台北捷運,南京復興,大湖公園,11.44
台北捷運,南京復興,葫洲,11.72
台北捷運,南京復興,東湖,10.87
台北捷運,南京復興,南港軟體園區,9.83
台北捷運,南京復興,南港展覽館,9.18
台北捷運,南京復興,小碧潭,13.26
台北捷運,南京復興,新店,13.32
台北捷運,南京復興,新店區公所,12.21
台北捷運,南京復興,七張,11.31
台北捷運,南京復興,大坪林,10.46
台北捷運,南京復興,景美,9.31
台北捷運,南京復興,萬隆,8.25
台北捷運,南京復興,公館,6.69
台北捷運,南京復興,台電大樓,5.79
台北捷運,南京復興,古亭,4.91
台北捷運,南京復興,中正紀念堂,4.57
台北捷運,南京復興,小南門,5.12
台北捷運,南京復興,頂溪,7.05
台北捷運,南京復興,永安市場,8.38
台北捷運,南京復興,景安,9.46
台北捷運,南京復興,南勢角,10.27
