Type,Transport,Value
Transport,,台北捷運MRT
Start,台北捷運MRT,BR24-南港展覽館
Start,台北捷運MRT,BR23-南港軟體園區
Start,台北捷運MRT,BR22-東湖
Start,台北捷運MRT,BR21-葫洲
Start,台北捷運MRT,BR20-大湖公園
Start,台北捷運MRT,BR19-內湖
Start,台北捷運MRT,BR18-文德(碧湖公園)
Start,台北捷運MRT,BR17-港墘
Start,台北捷運MRT,BR16-西湖(德明科大)
Start,台北捷運MRT,BR15-劍南路(美麗華)
Start,台北捷運MRT,BR14-大直(實踐大學)
Start,台北捷運MRT,BR13-松山機場
Start,台北捷運MRT,BR12-中山國中
Start,台北捷運MRT,BR11-南京復興
Start,台北捷運MRT,BR10-忠孝復興
Start,台北捷運MRT,BR09-大安
Start,台北捷運MRT,BR08-科技大樓
Start,台北捷運MRT,BR07-六張犁
Start,台北捷運MRT,BR06-麟光
Start,台北捷運MRT,BR05-辛亥
Start,台北捷運MRT,BR04-萬芳醫院
Start,台北捷運MRT,BR03-萬芳社區
Start,台北捷運MRT,BR02-木柵
Start,台北捷運MRT,BR01-動物園
Start,台北捷運MRT,R22A-新北投
Start,台北捷運MRT,R28-淡水
Start,台北捷運MRT,R27-紅樹林
Start,台北捷運MRT,R26-竹圍
Start,台北捷運MRT,R25-關渡
Start,台北捷運MRT,R24-忠義
Start,台北捷運MRT,R23-復興崗
Start,台北捷運MRT,R22-北投
Start,台北捷運MRT,R21-奇岩
Start,台北捷運MRT,R20-唭哩岸(陽明交通大學)
Start,台北捷運MRT,R19-石牌(榮總)
Start,台北捷運MRT,R18-明德
Start,台北捷運MRT,R17-芝山
Start,台北捷運MRT,R16-士林
Start,台北捷運MRT,R15-劍潭(北藝中心)
Start,台北捷運MRT,R14-圓山
Start,台北捷運MRT,R13-民權西路
Start,台北捷運MRT,R12-雙連(馬偕紀念醫院)
Start,台北捷運MRT,R11-中山
Start,台北捷運MRT,R10-台北車站
Start,台北捷運MRT,R09-台大醫院
Start,台北捷運MRT,R08-中正紀念堂(南門)
Start,台北捷運MRT,R07-東門
Start,台北捷運MRT,R06-大安森林公園
Start,台北捷運MRT,R05-大安
